

央视频道,#genre#
熊猫体娱高清,http://171.213.129.138:1880/rtp/239.93.0.94:5140
熊猫少儿高清,http://171.213.129.138:1880/rtp/239.93.1.189:5140
熊猫影院高清,http://171.213.129.138:1880/rtp/239.93.0.214:5140
睛彩四川,http://171.213.129.138:1880/rtp/239.93.0.126:5140
成都体育高清,http://171.213.129.138:1880/rtp/239.93.0.224:1281
熊猫频道高清,http://171.213.129.138:1880/rtp/239.93.0.211:9148
金熊猫卡通高清,http://171.213.129.138:1880/rtp/239.93.1.172:5140
炫动卡通,http://171.213.129.138:1880/rtp/239.93.0.173:5140
嘉佳卡通,http://171.213.129.138:1880/rtp/239.93.0.246:5140
卡酷动画,http://171.213.129.138:1880/rtp/239.93.0.208:5140
金鹰卡通,http://171.213.129.138:1880/rtp/239.93.0.108:5140
优漫卡通,http://171.213.129.138:1880/rtp/239.93.0.251:5140
宝宝动画高清,http://171.213.129.138:1880/rtp/239.93.0.147:5140
少儿动画高清,http://171.213.129.138:1880/rtp/239.93.0.193:9000
青春动漫,http://171.213.129.138:1880/rtp/239.93.0.146:5140
热门综艺高清,http://171.213.129.138:1880/rtp/239.93.0.151:5140
音乐现场高清,http://171.213.129.138:1880/rtp/239.93.0.198:9044
熊猫爱生活高清,http://171.213.129.138:1880/rtp/239.93.1.190:5140
大爱四川高清,http://171.213.129.138:1880/rtp/239.93.1.110:5140
大爱旅游高清,http://171.213.129.138:1880/rtp/239.93.42.70:5140
大爱生活高清,http://171.213.129.138:1880/rtp/239.93.42.71:5140
大爱时尚高清,http://171.213.129.138:1880/rtp/239.93.42.72:5140
斗牛财经高清,http://171.213.129.138:1880/rtp/239.93.42.62:5140
HD看电影,http://171.213.129.138:1880/rtp/239.93.42.47:5140
魅力时尚高清,http://171.213.129.138:1880/rtp/239.93.0.190:9012
汽车频道,http://171.213.129.138:1880/rtp/239.93.0.117:1292
足球高清,http://171.213.129.138:1880/rtp/239.93.0.197:9040
高网高清,http://171.213.129.138:1880/rtp/239.93.0.202:9068
台球高清,http://171.213.129.138:1880/rtp/239.93.0.203:9072
纪实人文,http://171.213.129.138:1880/rtp/239.93.1.154:5140
墨宝高清,http://171.213.129.138:1880/rtp/239.93.0.215:9132
军事高清,http://171.213.129.138:1880/rtp/239.93.0.204:9076
解密高清,http://171.213.129.138:1880/rtp/239.93.0.199:9048
地理高清,http://171.213.129.138:1880/rtp/239.93.0.200:9052
CGTN西班牙语,http://171.213.129.138:1880/rtp/239.93.42.49:5140
CGTN法语,http://171.213.129.138:1880/rtp/239.93.42.50:5140
每日影院,http://171.213.129.138:1880/rtp/239.93.42.35:5140
爱怀旧高清,http://171.213.129.138:1880/rtp/239.93.42.21:5140
爱喜剧高清,http://171.213.129.138:1880/rtp/239.93.42.9:5140
爱奇谈高清,http://171.213.129.138:1880/rtp/239.93.42.22:5140
爱科幻高清,http://171.213.129.138:1880/rtp/239.93.42.10:5140
爱院线高清,http://171.213.129.138:1880/rtp/239.93.42.11:5140
幸福剧场,http://171.213.129.138:1880/rtp/239.93.42.30:5140
爱谍战高清,http://171.213.129.138:1880/rtp/239.93.42.14:5140
爱经典高清,http://171.213.129.138:1880/rtp/239.93.42.13:5140
爱悬疑高清,http://171.213.129.138:1880/rtp/239.93.42.12:5140
爱青春高清,http://171.213.129.138:1880/rtp/239.93.42.16:5140
爱都市高清,http://171.213.129.138:1880/rtp/239.93.42.15:5140
少儿天地,http://171.213.129.138:1880/rtp/239.93.42.34:5140
爱幼教高清,http://171.213.129.138:1880/rtp/239.93.42.17:5140
爱玩具高清,http://171.213.129.138:1880/rtp/239.93.42.18:5140
爱动漫高清,http://171.213.129.138:1880/rtp/239.93.42.23:5140
乐龄学堂,http://171.213.129.138:1880/rtp/239.93.1.179:5140
亲子趣学4K,http://171.213.129.138:1880/rtp/239.93.1.191:5140
津津悦读4K,http://171.213.129.138:1880/rtp/239.93.1.197:5140
动画番剧,http://171.213.129.138:1880/rtp/239.93.1.177:5140
中录动漫4K,http://171.213.129.138:1880/rtp/239.93.1.188:5140
求索频道高清,http://171.213.129.138:1880/rtp/239.93.42.24:5140
爱电竞高清,http://171.213.129.138:1880/rtp/239.93.42.19:5140
爱赛车高清,http://171.213.129.138:1880/rtp/239.93.42.20:5140
爱宠宠物,http://171.213.129.138:1880/rtp/239.93.42.32:5140
风尚生活,http://171.213.129.138:1880/rtp/239.93.42.29:5140
幸福娱乐,http://171.213.129.138:1880/rtp/239.93.42.31:5140
来钓鱼吧,http://171.213.129.138:1880/rtp/239.93.42.8:5140
麻辣体育,http://171.213.129.138:1880/rtp/239.93.42.2:5140
绚影4K,http://171.213.129.138:1880/rtp/239.93.42.33:5140
先锋乒羽,http://171.213.129.138:1880/rtp/239.93.42.56:5140
天元围棋,http://171.213.129.138:1880/rtp/239.93.42.55:5140
快乐垂钓,http://171.213.129.138:1880/rtp/239.93.1.151:5140
茶频道,http://171.213.129.138:1880/rtp/239.93.0.114:5140
热血剧场,http://171.213.129.138:1880/rtp/239.93.1.198:5140
i成都,http://171.213.129.138:1880/rtp/239.93.1.104:1234
 乐山,http://171.213.129.138:1880/rtp/239.93.1.55:8302
四川交通,http://171.213.129.138:1880/rtp/239.93.0.142:5140
CETV-1高清,http://171.213.129.138:1880/rtp/239.93.1.111:5140
熊猫24小时,http://171.213.129.138:1880/rtp/239.93.1.178:5140
中国体育1,http://171.213.129.138:1880/rtp/239.93.42.25:5140
中国体育2,http://171.213.129.138:1880/rtp/239.93.42.26:5140
中国体育3,http://171.213.129.138:1880/rtp/239.93.42.27:5140
红原日干乔,http://171.213.129.138:1880/rtp/239.93.0.178:5140
红原月亮湾,http://171.213.129.138:1880/rtp/239.93.0.209:5140
先导片,http://171.213.129.138:1880/rtp/239.93.0.196:5140
雅克音乐节直播,http://171.213.129.138:1880/rtp/239.93.42.69:5140
雅克音乐节宣传,http://171.213.129.138:1880/rtp/239.93.42.68:5140
生活时尚,http://171.213.129.138:1880/rtp/239.93.0.106:5140
爱生活高清,http://171.213.129.138:1880/rtp/239.93.0.206:8028
财富天下,http://171.213.129.138:1880/rtp/239.93.0.116:9136
东方财经,http://171.213.129.138:1880/rtp/239.93.0.249:5140
股评汇,http://171.213.129.138:1880/rtp/239.93.0.141:5140
爱体育,http://171.213.129.138:1880/rtp/239.93.0.135:9008
电竞天堂高清,http://171.213.129.138:1880/rtp/239.93.1.135:5140
游戏风云,http://171.213.129.138:1880/rtp/239.93.0.136:5140
云演艺直播,http://171.213.129.138:1880/rtp/239.93.42.59:5140
云演艺宣传,http://171.213.129.138:1880/rtp/239.93.42.60:5140
920,http://171.213.129.138:1880/rtp/239.93.1.130:5140
921,http://171.213.129.138:1880/rtp/239.93.1.131:5140
922,http://171.213.129.138:1880/rtp/239.93.1.132:5140
923,http://171.213.129.138:1880/rtp/239.93.1.133:5140
924,http://171.213.129.138:1880/rtp/239.93.1.122:5140
925,http://171.213.129.138:1880/rtp/239.93.1.123:5140
926,http://171.213.129.138:1880/rtp/239.93.1.124:5140
927,http://171.213.129.138:1880/rtp/239.93.1.125:5140
